Filter,Max Residual
Johnson:U,8.385288097212396e-08
Johnson:V,2.956583833313431e-08
Stromgren:v,3.3731275661530447e-08
Gaia:G,7.664916967797808e-08
Bolometric:900-40000,4.493662414395416e-07
