Filter,Max Residual
Johnson:U,2.1223098622957792e-06
Johnson:V,7.480847298291238e-07
Stromgren:v,8.534439516205694e-07
Gaia:G,1.940058096838726e-06
Bolometric:900-40000,1.1373017102633831e-05
