Filter,Max Residual
Johnson:U,8.316087692916696e-06
Johnson:V,2.9327241150012284e-06
Stromgren:v,3.346014073812853e-06
Gaia:G,7.6007734717276065e-06
Bolometric:900-40000,4.4562784899615515e-05
