Filter,Max Residual
Johnson:U,4.902993916089393e-06
Johnson:V,1.7265257056253702e-06
Stromgren:v,1.9693362546258086e-06
Gaia:G,4.482804247807337e-06
Bolometric:900-40000,2.6272314134656582e-05
