Filter,Max Residual
Johnson:U,5.803949675198261e-06
Johnson:V,2.0459178470266792e-06
Stromgren:v,2.333969250645218e-06
Gaia:G,5.305926561227636e-06
Bolometric:900-40000,3.110425108088233e-05
