Filter,Max Residual
Johnson:U,1.68032998253409e-05
Johnson:V,5.918730260789928e-06
Stromgren:v,6.751495914336658e-06
Gaia:G,1.5362256651774153e-05
Bolometric:900-40000,9.004059486461546e-05
