Filter,Max Residual
Johnson:U,1.494170104088255e-06
Johnson:V,5.267297725763953e-07
Stromgren:v,6.009216396707373e-07
Gaia:G,1.3658450878084594e-06
Bolometric:900-40000,8.007053992731272e-06
