Filter,Max Residual
Johnson:U,1.5071802628163766e-07
Johnson:V,5.314169937431501e-08
Stromgren:v,6.062862434319527e-08
Gaia:G,1.3777011997895272e-07
Bolometric:900-40000,8.076952086044642e-07
