Filter,Max Residual
Johnson:U,3.941534543194791e-08
Johnson:V,1.3898491912911481e-08
Stromgren:v,1.5856957191751064e-08
Gaia:G,3.602480891373716e-08
Bolometric:900-40000,2.1120937832019848e-07
