Filter,Max Residual
Johnson:U,3.116226354737961e-08
Johnson:V,1.0987568410669724e-08
Stromgren:v,1.2535571247695998e-08
Gaia:G,2.84851571219491e-08
Bolometric:900-40000,1.6699818283782975e-07
