Filter,Max Residual
Johnson:U,6.140274346755348e-07
Johnson:V,2.16496977789582e-07
Stromgren:v,2.4699788836457515e-07
Gaia:G,5.612777310703976e-07
Bolometric:900-40000,3.290551731094382e-06
