Filter,Max Residual
Johnson:U,8.02400261790126e-08
Johnson:V,2.829176304341985e-08
Stromgren:v,3.227766576241464e-08
Gaia:G,7.334675078407571e-08
Bolometric:900-40000,4.300046013705483e-07
