Filter,Max Residual
Johnson:U,0.00013985451349940448
Johnson:V,4.898959395349678e-05
Stromgren:v,5.5806688747828126e-05
Gaia:G,0.00012809616989362116
Bolometric:900-40000,0.0007495602906746335
