Filter,Max Residual
Johnson:U,3.2476605849041107e-07
Johnson:V,1.1450799897172459e-07
Stromgren:v,1.3064027448717042e-07
Gaia:G,2.9686672986528606e-07
Bolometric:900-40000,1.7404144448951442e-06
