Filter,Max Residual
Johnson:U,2.6306715516177803e-05
Johnson:V,9.26805125212038e-06
Stromgren:v,1.0571493513800156e-05
Gaia:G,2.4053411130209312e-05
Bolometric:900-40000,0.0001409830026067871
