Filter,Max Residual
Johnson:U,1.634131165528796e-05
Johnson:V,5.754183196482465e-06
Stromgren:v,6.564035325284934e-06
Gaia:G,1.4938460750513194e-05
Bolometric:900-40000,8.755135390969837e-05
