import time: self [us] | cumulative | imported package
import time:      4565 |     192381 |         jax._src.lax.ann
import time:      7301 |     332945 |       jax._src.lax
import time:      5693 |     338637 |     jax._src.ad_checkpoint
import time:      3285 |       3285 |               _uuid
import time:      1228 |       4513 |             uuid
import time:      5329 |       5329 |             cloudpickle.compat
import time:      6955 |      16795 |           cloudpickle.cloudpickle
import time:      5349 |       5349 |           cloudpickle.cloudpickle_fast
import time:      5774 |      27917 |         cloudpickle
import time:      4006 |      31923 |       jax._src.pickle_util
import time:      4671 |      36593 |     jax._src.callback
import time:     59837 |      59837 |       jax._src.ref
import time:      7878 |      67715 |     jax.ref
import time:      6427 |       6427 |     jax.interpreters
import time:      5787 |       5787 |     jax.interpreters.ad
import time:      4832 |       4832 |     jax.interpreters.batching
import time:     31211 |      31211 |     jax.interpreters.mlir
import time:     39493 |      39493 |     jax.interpreters.partial_eval
import time:      6799 |       6799 |     jax.interpreters.pxla
import time:      5203 |       5203 |     jax.interpreters.xla
import time:     28058 |      28058 |     jax.custom_derivatives
import time:     48356 |      48356 |       jax._src.custom_batching
import time:     29222 |      77578 |     jax.custom_batching
import time:     27034 |      27034 |     jax.custom_transpose
import time:     11061 |      11061 |     jax.api_util
import time:      5418 |       5418 |     jax.distributed
import time:     12968 |      12968 |       jax._src.debugging
import time:     12725 |      12725 |         jax._src.debugger.core
import time:      8226 |       8226 |           cmd
import time:      8768 |      16994 |         jax._src.debugger.cli_debugger
import time:      6849 |       6849 |           jax._src.debugger.colab_lib
import time:      9752 |       9752 |           pygments
import time:      5496 |      22096 |         jax._src.debugger.colab_debugger
import time:      4958 |       4958 |         jax._src.debugger.web_debugger
import time:      5462 |      62234 |       jax._src.debugger
import time:      8255 |      83457 |     jax.debug
import time:      3774 |       3774 |         jax._src.numpy.scalar_types
import time:      3937 |       7710 |       jax._src.dlpack
import time:      3628 |      11338 |     jax.dlpack
import time:      3177 |       3177 |     jax.dtypes
import time:      4006 |       4006 |     jax.errors
import time:      4738 |       4738 |       jax._src.export.shape_poly_decision
import time:     13675 |      18413 |     jax.export
import time:      4031 |       4031 |     jax.ffi
import time:      5095 |       5095 |         jax._src.image
import time:      4990 |      10085 |       jax._src.image.scale
import time:      5468 |      15553 |     jax.image
import time:      4938 |       4938 |             jax._src.tpu
import time:      2927 |       2927 |               jax._src.tpu.linalg.qdwh
import time:      4191 |       4191 |               jax._src.tpu.linalg.stack
import time:      4516 |      11634 |             jax._src.tpu.linalg.eigh
import time:      5424 |       5424 |             jax._src.tpu.linalg.svd
import time:      4196 |      26190 |           jax._src.tpu.linalg
import time:        20 |      26209 |         jax._src.tpu.linalg.qdwh
import time:      6116 |      32325 |       jax.lax.linalg
import time:      3958 |      36282 |     jax.lax
import time:      4238 |       4238 |     jax.monitoring
import time:      4327 |       4327 |           jax._src.numpy.fft
import time:      3950 |       8276 |         jax.numpy.fft
import time:      4966 |       4966 |         jax.numpy.linalg
import time:      3605 |       3605 |         jax._src.numpy.window_functions
import time:      3794 |       3794 |         jax._src.numpy.array_api_metadata
import time:      3905 |       3905 |           jax._src.ops
import time:      3908 |       3908 |           jax._src.ops.scatter
import time:      5105 |      12917 |         jax._src.numpy.array_methods
import time:      5542 |      39096 |       jax.numpy
import time:      2851 |       2851 |           jax._src.nn
import time:       117 |        117 |                 flatbuffers
import time:      3444 |       3560 |               jax._src.export.serialization
import time:      3908 |       7468 |             jax._src.prng
import time:      4679 |      12146 |           jax._src.random
import time:      2537 |      17533 |         jax._src.nn.initializers
import time:      4668 |      22200 |       jax.nn.initializers
import time:      5156 |       5156 |             jax._src.cudnn.fusion
import time:      3937 |       9092 |           jax._src.cudnn
import time:      4609 |       4609 |           jax._src.custom_partitioning
import time:      5029 |      18730 |         jax._src.cudnn.fused_attention_stablehlo
import time:      4561 |       4561 |         jax._src.cudnn.scaled_matmul_stablehlo
import time:      5785 |       5785 |         jax._src.ops.special
import time:      4538 |      33613 |       jax._src.nn.functions
import time:      4629 |      99538 |     jax.nn
import time:      4289 |       4289 |     jax.ops
import time:      4655 |       4655 |     jax.profiler
import time:      7342 |       7342 |     jax.random
import time:      2762 |       2762 |     jax.scipy
import time:      2476 |       2476 |     jax.sharding
import time:      9248 |       9248 |     jax.memory
import time:      4773 |       4773 |     jax.stages
import time:      4534 |       4534 |     jax.tree_util
import time:      3493 |       3493 |           jax._src.earray
import time:      6178 |       6178 |           jax.experimental.x64_context
import time:      5575 |      15245 |         jax.experimental
import time:      5655 |      20900 |       jax.experimental.compilation_cache
import time:      5506 |      26406 |     jax.experimental.compilation_cache.compilation_cache
import time:      4223 |       4223 |     jax.lib
import time:     25156 |    4460447 |   jax
import time:        27 |    4460473 | jax.typing
import time:      3813 |       3813 | spice.models.mesh_generation
import time:      6175 |       6175 | spice.models.model
import time:      3939 |       3939 |         _csv
import time:      6625 |      10564 |       csv
import time:       555 |        555 |           importlib.metadata._functools
import time:       632 |       1186 |         importlib.metadata._text
import time:      1097 |       2282 |       importlib.metadata._adapters
import time:       829 |        829 |       importlib.metadata._meta
import time:       861 |        861 |       importlib.metadata._collections
import time:      1935 |       1935 |       importlib.metadata._itertools
import time:       612 |        612 |               importlib.resources.abc
import time:       626 |        626 |               importlib.resources._adapters
import time:       843 |       2080 |             importlib.resources._common
import time:       534 |        534 |             importlib.resources._legacy
import time:       585 |       3199 |           importlib.resources
import time:        15 |       3213 |         importlib.resources.abc
import time:      1128 |       4341 |       importlib.abc
import time:      1988 |      22798 |     importlib.metadata
import time:      4498 |       4498 |       jaxtyping._errors
import time:      4475 |       4475 |       jaxtyping._storage
import time:     10470 |      19441 |     jaxtyping._array_types
import time:      9703 |       9703 |     jaxtyping._config
import time:      5395 |       5395 |     jaxtyping._decorator
import time:      5141 |       5141 |     jaxtyping._import_hook
import time:      4257 |       4257 |     jaxtyping._ipython_extension
import time:     29108 |      95842 |   jaxtyping
import time:      5408 |     101250 | spice.models.utils
import time:      2304 |       2304 |     spice.geometry.utils
import time:      2243 |       2243 |     spice.geometry.sutherland_hodgman
import time:      1878 |       6425 |   spice.geometry
import time:        19 |       6444 | spice.geometry.utils
