import time: self [us] | cumulative | imported package
import time:        16 |     248676 |                       numpy._core._multiarray_umath
import time:      4676 |     253352 |                     numpy.__config__
import time:      4479 |       4479 |                                       numpy._typing._nbit_base
import time:      5105 |       5105 |                                       numpy._typing._nested_sequence
import time:      4720 |       4720 |                                       numpy._typing._shape
import time:      9546 |      23848 |                                     numpy._typing._array_like
import time:      5830 |       5830 |                                     numpy._typing._char_codes
import time:      6253 |       6253 |                                     numpy._typing._dtype_like
import time:      4669 |       4669 |                                     numpy._typing._nbit
import time:      4744 |       4744 |                                     numpy._typing._scalars
import time:      3629 |       3629 |                                     numpy._typing._ufunc
import time:      7092 |      56062 |                                   numpy._typing
import time:      5707 |       5707 |                                     numpy.lib._stride_tricks_impl
import time:      5566 |      11273 |                                   numpy.lib._twodim_base_impl
import time:      4024 |       4024 |                                     numpy.lib._array_utils_impl
import time:      3930 |       7954 |                                   numpy.lib.array_utils
import time:     15098 |      15098 |                                   numpy.linalg._umath_linalg
import time:     12134 |     102518 |                                 numpy.linalg._linalg
import time:      8130 |     110648 |                               numpy.linalg
import time:      5065 |     115713 |                             numpy.matrixlib.defmatrix
import time:      5439 |     121151 |                           numpy.matrixlib
import time:      4287 |       4287 |                             numpy.lib._histograms_impl
import time:      6772 |      11059 |                           numpy.lib._function_base_impl
import time:      5133 |     137342 |                         numpy.lib._index_tricks_impl
import time:      6209 |     143551 |                       numpy.lib._arraypad_impl
import time:      4712 |       4712 |                       numpy.lib._arraysetops_impl
import time:      9617 |       9617 |                       numpy.lib._arrayterator_impl
import time:      3374 |       3374 |                       numpy.lib._nanfunctions_impl
import time:      2084 |       2084 |                               platform
import time:      5293 |       7377 |                             numpy.lib._utils_impl
import time:      3353 |      10730 |                           numpy.lib._format_impl
import time:      2939 |      13668 |                         numpy.lib.format
import time:      6848 |       6848 |                         numpy.lib._datasource
import time:      3573 |       3573 |                         numpy.lib._iotools
import time:      4192 |      28280 |                       numpy.lib._npyio_impl
import time:      3373 |       3373 |                           numpy.lib._ufunclike_impl
import time:      4898 |       8270 |                         numpy.lib._type_check_impl
import time:      3741 |      12011 |                       numpy.lib._polynomial_impl
import time:      5804 |       5804 |                       numpy.lib._shape_base_impl
import time:      7665 |       7665 |                       numpy.lib._version
import time:      5485 |       5485 |                       numpy.lib.introspect
import time:      3471 |       3471 |                       numpy.lib.mixins
import time:      3080 |       3080 |                       numpy.lib.npyio
import time:      3712 |       3712 |                         numpy.lib._scimath_impl
import time:      3493 |       7204 |                       numpy.lib.scimath
