Filter,Max Residual
Johnson:U,1.850164421335343e-06
Johnson:V,6.522773404737947e-07
Stromgren:v,7.441670767383002e-07
Gaia:G,1.6911285548593114e-06
Bolometric:900-40000,9.914323212623088e-06
