Filter,Max Residual
Johnson:U,5.976908445948226e-08
Johnson:V,2.1074196721038163e-08
Stromgren:v,2.4043295687725674e-08
Gaia:G,5.463432117824851e-08
Bolometric:900-40000,3.203015994657221e-07
