Filter,Max Residual
Johnson:U,2.2758572737480165e-07
Johnson:V,8.023650166499863e-08
Stromgren:v,9.153911961767847e-08
Gaia:G,2.0803796363377813e-07
Bolometric:900-40000,1.2196188521329532e-06
