Filter,Max Residual
Johnson:U,3.3649659725298875e-08
Johnson:V,1.1864646820569646e-08
Stromgren:v,1.3536226139976293e-08
Gaia:G,3.0758833702293487e-08
Bolometric:900-40000,1.803280675893859e-07
