Filter,Max Residual
Johnson:U,9.682065321592326e-06
Johnson:V,3.4101996028157444e-06
Stromgren:v,3.890081428759018e-06
Gaia:G,8.851438321189065e-06
Bolometric:900-40000,5.1879035564805775e-05
