Filter,Max Residual
Johnson:U,3.0851498022954615e-09
Johnson:V,1.0878039580219934e-09
Stromgren:v,1.241060587631182e-09
Gaia:G,2.8201040391806487e-09
Bolometric:900-40000,1.653329295692174e-08
