Filter,Max Residual
Johnson:U,5.19188978032048e-07
Johnson:V,1.8310020055700704e-07
Stromgren:v,2.0891026430991388e-07
Gaia:G,4.744130022160675e-07
Bolometric:900-40000,2.7816639792677123e-06
