Filter,Max Residual
Johnson:U,3.2568871555227474e-06
Johnson:V,1.1481322493844814e-06
Stromgren:v,1.3098438620406938e-06
Gaia:G,2.9772008846018494e-06
Bolometric:900-40000,1.7453391725208434e-05
