Filter,Max Residual
Johnson:U,5.700090355276188e-07
Johnson:V,2.0100108566456498e-07
Stromgren:v,2.2930418519528928e-07
Gaia:G,5.211041591568488e-07
Bolometric:900-40000,3.055061645107493e-06
