Filter,Max Residual
Johnson:U,9.0721562998608e-06
Johnson:V,3.1977131432769923e-06
Stromgren:v,3.6480291540907928e-06
Gaia:G,8.29273572755529e-06
Bolometric:900-40000,4.861358427143969e-05
