Filter,Max Residual
Johnson:U,1.0806112538119805e-07
Johnson:V,3.8101647836796815e-08
Stromgren:v,4.346970705615405e-08
Gaia:G,9.877755635656627e-08
Bolometric:900-40000,5.790976711494977e-07
